Device_ID,device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index
207dd94c-0430-43aa-b388-4893447e628e,38,4500,7.1,11.4,34.8,90.8,7,7.9,14,Medium,Poor,4,10,4.04
3f4d1d33-ba89-4814-a168-7b4cc75be26b,28,3000,6.8,10.3,35.4,60.6,2,8.6,11,Medium,Good,7,10,4.23
b4adca05-564f-4b70-ab69-e8d66e656463,14,3000,7.2,11.2,29.4,29.3,4,0.3,10.3,Medium,Good,6,10,2.21
4147e039-31b7-480a-bbc9-03cd0f66e9f1,42,3000,5.5,8.3,32.8,62.5,0,1.9,4.9,Medium,Good,8,10,3.13
3f9b0fb7-73c2-4ab7-8e30-7b492097a3f5,7,3000,7.6,11.6,38.7,85.4,6,7.9,9.3,High,Good,5,10,4.95
64eaa3cb-07b0-4854-9855-c79ff9a0e947,20,4000,7.4,10.1,30.7,20.9,2,7.4,4.1,Medium,Good,8,10,3.04
17bdd56a-0027-4c84-a2ca-b81a024b59fb,38,3000,7.8,11.8,32.7,50.2,4,6.8,12,Medium,Good,7,10,3.48
dc6f0ab4-53b2-4a59-b2d1-8ef2c6b9b54a,18,5000,4.3,7.8,32.5,10.5,6,5.3,11.7,Low,Good,6,10,3.31
d755e272-ed5f-4d24-b6f4-e95fa32542b2,22,3000,7.6,11.5,37.4,35.7,0,12.7,10.9,Medium,Good,8,10,5.01
6feb6a06-c9af-4bf9-a062-561d129d4dbd,10,4500,4.5,5.9,33.3,78.7,0,5.2,16.2,Medium,Good,8,10,3.5
d9db8a78-5f06-4446-ae6c-fd84682b3549,10,5000,5.2,9.3,30.6,15.1,1,3.5,14,Low,Good,8,10,2.74
1e31feb9-6327-4af6-b905-d08308f6e332,23,4500,5.1,8.4,30.7,68,4,0.7,20.4,Low,Good,6,10,2.56
170e6dcb-239c-4297-9c4b-095a9335d9c4,35,4500,3.5,6,29.2,47.2,1,4.1,14.9,Medium,Moderate,8,10,2.46
ba711972-e5ad-40cd-9bf8-eb2d89c1cbda,39,4000,2,3.8,31.8,40.8,5,2.4,10.8,Low,Moderate,6,10,2.94
fe6d9afd-ccf1-41ea-9361-23a2287cc32b,23,4000,7.9,10.8,30.7,24.2,6,3.2,8.5,Low,Moderate,6,10,2.73
d8ea4195-cb99-462b-88aa-9101a25bc8d2,2,4500,4.1,6.8,29.5,73,7,7.3,2.9,Medium,Moderate,4,10,2.77
c8f6bb96-ab2b-4eab-b2fb-24ec4c07b166,21,4500,5,8.8,31.1,46.3,6,5.7,16.9,High,Moderate,6,10,3.02
76b51a54-b8d5-46e7-af6c-41d40d65bbd8,1,3000,4,5.6,30.6,50.4,7,5.1,12.9,Low,Good,5,10,2.85
de650544-a95b-4156-9101-ff0257e6a1eb,23,5000,5,5.6,33.9,33.9,0,2.6,7.7,Medium,Moderate,9,10,3.43
8cb2dc04-cac9-4345-b3fa-47bae1236ad7,43,3000,4.5,7.1,29.1,14.5,6,4.5,11.5,Low,Good,6,10,2.46
fcb5a4f1-c3e4-468d-8edd-7f0b2a1f36d8,29,4000,8.1,12.1,35.3,51,2,15.5,10.7,High,Good,6,10,4.72
cb75865b-8404-474d-967d-9eb59ace50f8,37,4000,4.3,4.9,33.6,49.1,2,7.7,9.5,High,Moderate,7,10,3.76
